Code,Treatment,Repet,Tree,Fruit,Nseeds,FrDiam,Block,TreeCode
C2210,C,02,02,10,0,51.6,Block_1,C0202
C311,C,03,01,1,0,65.22,Block_1,C0301
C312,C,03,01,2,0,58.84,Block_1,C0301
C313,C,03,01,3,0,63.25,Block_1,C0301
C314,C,03,01,4,1,65.63,Block_1,C0301
C315,C,03,01,5,1,64.22,Block_1,C0301
C316,C,03,01,6,0,57.78,Block_1,C0301
C317,C,03,01,7,0,56.81,Block_1,C0301
C318,C,03,01,8,0,58.68,Block_1,C0301
C319,C,03,01,9,0,61.44,Block_1,C0301
C3110,C,03,01,10,0,56.03,Block_1,C0301
C321,C,03,02,1,9,70.18,Block_1,C0302
C322,C,03,02,2,0,64.85,Block_1,C0302
C323,C,03,02,3,0,60.6,Block_1,C0302
C324,C,03,02,4,0,51.54,Block_1,C0302
C325,C,03,02,5,0,55.3,Block_1,C0302
C326,C,03,02,6,0,53.46,Block_1,C0302
C327,C,03,02,7,0,57.18,Block_1,C0302
C328,C,03,02,8,0,54.29,Block_1,C0302
C329,C,03,02,9,0,44.82,Block_1,C0302
C3210,C,03,02,10,,,Block_1,C0302
C411,C,04,01,1,0,49.36,Block_2,C0401
C412,C,04,01,2,0,50.4,Block_2,C0401
C413,C,04,01,3,8,70.88,Block_2,C0401
C414,C,04,01,4,0,60.17,Block_2,C0401
C415,C,04,01,5,7,63.69,Block_2,C0401
C416,C,04,01,6,2,57.91,Block_2,C0401
C417,C,04,01,7,5,59.53,Block_2,C0401
C418,C,04,01,8,2,56.71,Block_2,C0401
C419,C,04,01,9,0,63.74,Block_2,C0401
C4110,C,04,01,10,0,55.82,Block_2,C0401
C421,C,04,02,1,1,61.59,Block_2,C0402
C422,C,04,02,2,0,49.88,Block_2,C0402
C423,C,04,02,3,2,53.18,Block_2,C0402
C424,C,04,02,4,0,63.6,Block_2,C0402
C425,C,04,02,5,1,57.51,Block_2,C0402
C426,C,04,02,6,2,53.14,Block_2,C0402
C427,C,04,02,7,0,51.07,Block_2,C0402
C428,C,04,02,8,1,56.25,Block_2,C0402
C429,C,04,02,9,0,59.38,Block_2,C0402
C4210,C,04,02,10,0,58.32,Block_2,C0402
C511,C,05,01,1,0,48.27,Block_2,C0501
C512,C,05,01,2,0,46.21,Block_2,C0501
C513,C,05,01,3,0,54.81,Block_2,C0501
C514,C,05,01,4,1,55.39,Block_2,C0501
C515,C,05,01,5,0,51.78,Block_2,C0501
C516,C,05,01,6,1,57.02,Block_2,C0501
C517,C,05,01,7,2,60.03,Block_2,C0501
C518,C,05,01,8,5,57.8,Block_2,C0501
C519,C,05,01,9,1,56.17,Block_2,C0501
C5110,C,05,01,10,0,51.47,Block_2,C0501
C521,C,05,02,1,0,58.58,Block_2,C0502
C522,C,05,02,2,0,60.12,Block_2,C0502
C523,C,05,02,3,0,31.38,Block_2,C0502
C524,C,05,02,4,0,71.1,Block_2,C0502
C525,C,05,02,5,0,61.98,Block_2,C0502
C526,C,05,02,6,0,59.52,Block_2,C0502
C527,C,05,02,7,0,55.44,Block_2,C0502
C528,C,05,02,8,0,61.94,Block_2,C0502
C529,C,05,02,9,0,50.71,Block_2,C0502
C5210,C,05,02,10,0,59.21,Block_2,C0502
C611,C,06,01,1,0,43.47,Block_2,C0601
C612,C,06,01,2,0,49.4,Block_2,C0601
C613,C,06,01,3,0,53.05,Block_2,C0601
C614,C,06,01,4,0,62.75,Block_2,C0601
C615,C,06,01,5,0,53.49,Block_2,C0601
C616,C,06,01,6,0,57.03,Block_2,C0601
C617,C,06,01,7,1,62.12,Block_2,C0601
C618,C,06,01,8,0,67.81,Block_2,C0601
C619,C,06,01,9,0,58.62,Block_2,C0601
C6110,C,06,01,10,0,75.12,Block_2,C0601
C621,C,06,02,1,0,61.53,Block_2,C0602
C622,C,06,02,2,0,47.25,Block_2,C0602
C623,C,06,02,3,0,60.56,Block_2,C0602
C624,C,06,02,4,0,60.65,Block_2,C0602
